class,isosurface_points,isosurface_cells,mean_intensity,median_intensity,std_intensity,min_intensity,max_intensity,q25_intensity,q75_intensity,intensity_range,iqr_intensity,voxel_count,high_intensity_voxels,voxel_ratio,high_intensity_ratio,point_cell_ratio,cell_density,point_density
glioma,22482,44512,0.08089148022031863,0.01009092502088864,0.1141854442948856,0.0,0.8666666746139526,0.00038484452728808154,0.14788917757140382,0.8666666746139526,0.14750433304411575,337460,2643,0.3218269348144531,0.0025205612182617188,0.5050772825305535,0.131903040360339,0.06662122918271796
glioma,11488,22520,0.062495321951474635,0.015090180461449639,0.09105786250728164,0.0,0.7450980544090271,0.0007650601315826337,0.099512675547449,0.7450980544090271,0.09874761541586637,261135,658,0.2490377426147461,0.0006275177001953125,0.5101243339253997,0.08623891856702472,0.04399257089245027
glioma,27460,54320,0.09728854544360632,0.058692190656726505,0.10877266143902407,0.0,0.8941176533699036,0.010080446321322555,0.163696333062036,0.8941176533699036,0.15361588674071344,418231,4241,0.39885616302490234,0.004044532775878906,0.5055228276877761,0.12988037711217007,0.06565749549889893
glioma,26220,51756,0.11654759444772006,0.09797657785813844,0.10895154883987368,0.0,0.8470588326454163,0.014926901095787435,0.18886990552286423,0.8470588326454163,0.1739430044270768,519168,3204,0.4951171875,0.003055572509765625,0.5066079295154186,0.09969027366863906,0.05050388313609468
glioma,3054,5936,0.060294522289681386,0.007805370866873804,0.08551559478899047,0.0,0.7882353067398071,0.0,0.11622763161998596,0.7882353067398071,0.11622763161998596,287501,105,0.2741823196411133,0.00010013580322265625,0.514487870619946,0.020646884706487977,0.010622571747576531
glioma,5160,10040,0.07973638776865795,0.03170728093939162,0.09795183396932795,0.0,0.6313725709915161,0.0007687619304015284,0.14074963888172345,0.6313725709915161,0.13998087695132191,360437,34,0.34373950958251953,3.24249267578125e-05,0.5139442231075697,0.027855075921728346,0.014315955354195047
glioma,43994,87032,0.12785491291805318,0.10060119882895267,0.1265398956137065,0.0,0.9098039269447327,0.0134545672270662,0.20920973912418114,0.9098039269447327,0.19575517189711494,526427,5869,0.502039909362793,0.005597114562988281,0.50549223274198,0.16532586664437804,0.08357094146006949
glioma,23708,46724,0.06759344910424143,0.003902685433436902,0.10870348951462475,0.0,0.800000011920929,0.0,0.1169331738800141,0.800000011920929,0.1169331738800141,283246,2091,0.2701244354248047,0.0019941329956054688,0.5074051879119938,0.16495908150512276,0.08370109374889671
glioma,18222,35864,0.06457409192278733,0.007246114409008495,0.1123700431971889,0.0,0.8156862854957581,0.0,0.07718194213965544,0.8156862854957581,0.07718194213965544,244901,553,0.23355579376220703,0.0005273818969726562,0.5080861030559893,0.14644284833463317,0.07440557613076304
glioma,39506,78232,0.10411458819049642,0.042276376259205495,0.12820821700387552,0.0,0.8196078538894653,0.0019057270139048214,0.1808326698597066,0.8196078538894653,0.1789269428458018,409799,5303,0.39081478118896484,0.005057334899902344,0.504985172308007,0.1909033452985488,0.09640335871976262
glioma,9006,17704,0.06596349262607915,0.008383433501207198,0.09632027889992137,0.0,0.8274509906768799,0.0,0.12190302541865579,0.8274509906768799,0.12190302541865579,293021,763,0.2794466018676758,0.0007276535034179688,0.5086985991866245,0.06041887782786899,0.03073499851546476
glioma,42130,83756,0.10808900629896465,0.01808769209707232,0.145388082687103,0.0,0.9098039269447327,0.008318903470776262,0.1913880699983462,0.9098039269447327,0.18306916652756994,365803,7951,0.34885692596435547,0.007582664489746094,0.5030087396723817,0.2289647706552434,0.1151712807166699
glioma,17696,34944,0.08540749045770045,0.04430795687517774,0.09975652247880411,0.0,0.729411780834198,0.009621112770921534,0.13957892171448363,0.729411780834198,0.1299578089435621,362091,812,0.34531688690185547,0.000774383544921875,0.5064102564102564,0.09650612691284788,0.04887169247509604
glioma,4194,8192,0.07736389394288735,0.022824265227439907,0.09532573409220113,0.0,0.7960784435272217,0.0005772667680832053,0.14400086247497138,0.7960784435272217,0.14342359570688817,359632,144,0.3429718017578125,0.0001373291015625,0.511962890625,0.022778840592605775,0.011661921074876541
glioma,23682,46760,0.08415383027147164,0.02822524893363037,0.10937587158496076,0.0,0.9019607901573181,0.0011545335361664117,0.14597336319899848,0.9019607901573181,0.14481882966283208,352916,2329,0.3365669250488281,0.0022211074829101562,0.5064585115483319,0.13249611805642136,0.06710378673678723
glioma,39226,77576,0.12302263105063174,0.09380070872697618,0.12154683499790304,0.0,0.8196078538894653,0.015516495191587048,0.20400098439961062,0.8196078538894653,0.18848448920802358,510414,4854,0.4867687225341797,0.0046291351318359375,0.5056460761060122,0.15198642670459667,0.07685134028455333
glioma,5288,10312,0.06814083024863653,0.009344303368180151,0.09849997586739899,0.0,0.7490196228027344,0.0,0.11851040673977037,0.7490196228027344,0.11851040673977037,296718,74,0.2829723358154297,7.05718994140625e-05,0.5128006206361521,0.03475353702842429,0.01782163535747747
glioma,22982,45448,0.0657075504908392,0.006521330678233827,0.11171603213259154,0.0,0.8627451062202454,0.0,0.10029692869502463,0.8627451062202454,0.10029692869502463,262503,1579,0.25034236907958984,0.0015058517456054688,0.5056768174617144,0.17313325942941604,0.08754947562504048
