,precision,recall,f1-score,support
glioma,0.9242424242424242,0.7625,0.8356164383561644,400.0
meningioma,0.8325471698113207,0.8825,0.8567961165048543,400.0
notumor,0.8901345291479821,0.9925,0.9385342789598109,400.0
pituitary,0.9475,0.9475,0.9475,400.0
accuracy,0.89625,0.89625,0.89625,0.89625
macro avg,0.8986060308004318,0.89625,0.8946117084552074,1600.0
weighted avg,0.8986060308004318,0.89625,0.8946117084552074,1600.0
